#,Module,คำถาม (ลูกค้าแจ้ง),คำตอบ (มาตรฐาน)
23,ALL,รายการยาไม่ขึ้น นีโอตรวจสอบแต่ตรงพิมพ์ใบมามีรายการขึ้นปกติ แต่ไม่มีรายการให้จ่าย,หากต้องการแก้ไขรายการยา/ใช้จ่าย จำเป็นต้องยกเลิกD/Cก่อนนะ และแก้ไขข้อมูลใหม่อีกครั้ง
24,ALL,ลบ AN 670001475 ออกจากระบบ หมอplan admit แต่คนไข้ปฏิเสธนอน,ส่งคู่มือธีตั้งกลุ่มยกเลิก AN และวิธียกเลิก AN
25,ALL,การเพิ่มลายเซ็นในneo สามารถแจ้งได้ทางบ้าง,สามารถแจ้งไอทีของรพ.เพิ่มให้ได้เลย
26,ALL,ตึกชายมีปัญหา Neohos เด้งออกจาหน้าที่เปิดอยู่้บ่อยมาก,เนื่องจากมีการจับ การล๊อคอินเพิ่มเติม หากล๊อคอินมากกว่า 2 เครื่อง เครื่องที่ 3 จะมีการล๊อคเอ้าท์ อัตโนมัติ
27,ALL,มีแอด คนบ้าง พอดี เครื่อง NB ส่วนตัวของเจ้าหน้าที่ เข้า NeoHos ไม่ได้,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
28,ALL,เข้าใช้งานไม่ได้ไม่ทราบว่าจะทำอย่างไรดี,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
29,ALL,"อยากทางทีม NeoHos ช่วยพัฒนาระบ
ให้สนับสนุนการใช้งาน SSL กับตัวเว็บ
เพื่อเพิ่มความปลอดภัยมากขึ้น","เรื่องการพัฒนาระบบให้รองรับ SSL (HTTPS) เพื่อเพิ่มความปลอดภัยในการใช้งาน
ทางเราจะดำเนินการประสานกับทีมพัฒนา เพื่อพิจารณาและวางแผนในการรองรับการใช้งาน SSL บนระบบต่อไป โดยจะแจ้งความคืบหน้าให้ทราบอีกครั้งเมื่อมีการอัปเดตเพิ่มเติม"
30,ALL,ในส่วน PACs ทางบริษัทมีแผนดำเนินการอย่างไรบ้าง,่วนนี้คือตัวอย่างเชื่อม Pac X-Ray ทางรพ.ขอลิงค์เชื่อม pac กับบริษัท x-ray หากรับแล้วสามารถนำลิงค์ส่งกลับให้ทางทีม Neo เชื่อมลิงค์เข้าระบบ IPD
31,ALL,ขอ sync รหัสผ่านจาก hosxp ไปอัพเดท ที่ neo,ลองให้หน้าที่ log in ใหม่อีกครั้งนะ
32,ALL,เรื่อง คำนำหน้าชื่อ,คำนำหน้าทางทีมดึงตารางจาก his คุณแจ๊คสามารถเพิ่มในฐาน pname เลย เนื่องจากเป็นฐานของ รพ. ทางทีมไม่สามารถเพิ่ม
33,ALL,ทางรพ.ต้องรออัพเดทให้หรอ,รอทางทีมแจ้งอัพเดทอีกที
34,ALL,neohos รองรับระบบการใช้เครื่องจัดยาอัตโนมัติ มี site reference,ส่วนนี้อยู่ระหว่างดำเนินการพัฒนา หากเรียบร้อยแล้วจะมีทีมแจ้งอัพเดทในส่วนนี้อีกครั้ง
35,ALL,แจ้งเตือนอันนี้ขึ้นบ่อยมากๆ คืออะไรหรอ,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
36,ALL,พี่อยากเปลี่ยน รหัสใน neo,ส่วนนี้ทีมแนะนให้เปลี่ยนที่ hos
37,ALL,IT ยังไม่ได้ทำอะไร แก้ปัญหาอย่างไร เผื่อทางทีมนีโอมีปัญหาเรื่องเครื่องวางไฟล์อีก เพราะจะมีปัญหาการเข้าถึงเครื่องนี้ตลอด แจ้งพี่หนอ่ย่,อาจเกิดจากสัญญาณอินเทอร์เน็ตไม่เสถียรในช่วงเวลานั้น ทำให้ไม่สามารถเข้าเครื่องวางไฟล์ได้
38,ALL,Login ใช้งานห้องยาบางเครื่องเข้าไม่ได้ต้องทำยังไงอาจารย์,รบกวนปุ่ม Ctrl+F5 Refresh Chrome หรือ เคลียร์แคชอีกครั้งค่ะ
39,Consult,ขอลบรายการนี้,สามารถให้แผนกที่ขอ consult มา ลบได้เลย
40,Consult,ส่วนที่มี 2 รายการเพราะเจอปัญหาว่าเวลาตรวจ consult เขาจะใส่ชื่อเจ้าหน้าที่เข้าไปว่า consult ใครซึ่งเดิมคนที่เข้าไปดูคนแรกจะเขียนข้อมูลการ consult ไว้ แล้วคนต่อมาเข้าไปดูถ้าไม่ใช่พยาบาลคนเดิมพยาบาลคนใหม่เข้าไปดูก็จะสามารถเห็นข้อมูลของคนเก่าที่เขียนไว้แต่ตอนนี้เราเจอว่าพยาบาลคนที่ 2 ที่เข้าไปดูไม่เห็นข้อมูลการ consult เลยเลยแก้ปัญหาโดยให้พยาบาลบอร์ดส่งคอนเซาท์ครั้งที่ 2 ให้พยาบาลคนใหม่ถึงจะสามารถบันทึกข้อมูลการคอนเซาท์ครั้งที่ 2 ครั้งที่ 3 ได้เลยกลายเป็นมีเลข consult 2 เลขถ้าช่วยแก้ปัญหาได้จะดีมาก,หากมีการกำหนดชื่อเจ้าหน้าที่ ที่จะรับ consult รายการ consult จะอ่านได้เพียงผู้ส่งและผู้รับ เจ้าหน้าที่ท่านอื่นจะไม่สามารถอ่านได้ หากต้องการให้เจ้าหน้าที่ท่านอื่นสามารถอ่านได้ด้วยแนะนำให้เลือกส่ง consult ไปที่แผนกนั้นๆโดยไม่ต้องเลือกชื่อแพทย์ที่จะขอ consult
41,Consult,เปลี่ยนคำ แพทย์ที่จะขอ Consult เป็น ผู้รับ Consult ได้เหรือเปล่า,ส่วนนี้จะยังไม่สามารถแก้ไขได้ เนื่องจากเป็นหน้าการทำงานหลัก
42,Consult,ขออนุญาตสอบถาม กรณีห้องยาเขียน consult จะแจ้งเตือนเฉพาะแพทย์ที่ระบุชื่อ หรือแพทย์ทุกท่านที่เข้ามาดูผู้ป่วย หรือหน้านี้เป็นเฉพาะแพทย์ consult แพทย์ ถ้าต้องการ consult ห้องยาต้องกดที่เมนูไหน ขอบคุณ,จะแจ้งเตือนเฉพาะแพทย์ที่ระบุชื่อ แต่เจ้าหน้าที่ท่านอื่นสามารถเข้ามาดูที่ผู้ป่วยได้
43,Consult,เราทำ แจ้งเตือนconsultแพทย์ทางไลน์โทรศัพท์หรือยังนะ,จะมีเพียงแจ้งเตือนผ่านระบบ neo เท่านั้นนะ
44,Consult,รบกวนสอบถาม ข้อมูลส่วนนี้ต้องลงตรงไหนถึงจะมีข้อมูล ใบ consult,จะต้องเป็นการลงข้อมูลมาจาก opd
45,Consult,"ไม่แน่ใจว่าทำไม เคสนี้ถึงขึ้นการขอ consult ที่แอคเคาท์ของหมอ 
ปัจจุบัน ราวน์วอร์ดชาย 
เคสผู้ป่วยน่าจะเป็นวอร์ดหญิง",ส่วนนี้หากมีการเลือกชื่อแพทย์ที่จะขอ consult แจ้งเตือนจะมาแสดงที่แพทย์ด้วย
46,Consult,ขอสอบถามแอดมินระบบ เรื่องใบconsultในระบบ neohos ของหน่วยงานทันตกรรม ทันตแพทย์มีปัญหาไม่พบชื่อผู้ป่วยในหน้าconsult แต่จะมีปัญหาเป็นบางusernameของแพทย์ เมื่อใช้usernameของหมออื่นแล้วlogin ก็พบชื่อคนไข้ไม่ทราบเกิดจากสาเหตุใด (update versionของโปรแกรมแล้ว),ทันตแพทย์มีปัญหาไม่พบชื่อผู้ป่วยในหน้าconsult ส่วนนี้ ได้ log in แผนกที่ต้องรับ consult ไหม
47,Consult,Consult ไปหาทั้งเภสัช PT โภชนาการ อ่านตอบ consult ไม่ได้ทั้งหมด,จะสามารถอ่านผลการตอบกลับได้เฉพาะแพทย์ผู้ส่ง consult
48,Consult,รายการ consult. คนไข้ เปิดดูข้อมูล อีกคน แต่ ขึ้นแต่ขื่อ วารี ทั้ง 4 ราย,แนะนำรีเฟรชอีกครั้ง
49,Consult,สมมติว่า เลือก ห้องตรวจอายุรกรรม แต่ไม่เลือกชื่อแพทย์ หน้า consult จะขึ้น ที่ แพทย์อายุรกรรม?,ส่วนนี้จะเห็นทั้งห้องอายุรกรรม แต่ถ้าหากต้องการ consult หาแพทย์โดยตรง แนะนำเลือกแค่ชื่อแพทย์ได้เลย
50,Consult,ขออนุญาต จากICU คุณหมอพิมพ์ใบconsult ในระบบแล้วทำไมถึงไม่ขึ้นตรงหน้าconsult,"หากเป็นเจ้าหน้าที่พยาบาลจะแสดงที่ส่วนนี้ จะไม่มีรายการแสดงที่แถบซ้าย
นอกจากแพทย์ user ที่เป็นเจ้าหน้าที่ผู็ส่ง consult ถึงจะแสดงที่แถบซ้าย"
51,Discharge Summary,Discharge หัวข้อ ตรวจชาร์ท กับ ผู้ตรวจ หน้าต้องไปใส่ ตรงนะ,แก้ไขเรียบร้อย
52,Discharge Summary,รบกวร คนไข้กายภาพ หรือ imc หน้า discharge sum จะต้องติ๊ก จาก นักกายภาพ,เนื่องจากในส่วนนี้ ทาง neo ไม่ทราบรายละเอียดการทำงานจริงของทางโรงพยาบาล ในขั้นตอนการบันทึก Discharge Summary
53,Discharge Summary,ช่องตรวจชาร์จ ไม่มีสัญญลักษณ์สี่เหลี่ยม เกิดจากอะไร,จะต้องกดบันทึกส่วนนี้ ที่หน้าวินิจฉัยโรค
54,Discharge Summary,ตรงช่องตรวจชาร์ทปกติจะขึ้นช่องสี่เหลี่ยมมาให้เรากดเทื่อเราตรวจเสร็จแล้วหลังจาก update ตอนนี้ไม่มีเราต้องไปกดตรงก่อนป่ะ,หากแพทย์ complete หรือไม่ complete สามารถกดเลือกได้เลย แล้วกด save
55,Discharge Summary,ขอเพิ่ม psychotherapy,ในแบบที่ 5 จะมีการปรับหน้าลงข้อมูลอยู่ หากมีการอัพเดทจะแจ้งมีแจ้งให้ทราบ
56,Discharge Summary,ลงวินิจฉัยไปหมดแล้วแต่ยังไม่ขึ้น ✅,จะต้องมีลงข้อมูลวินิจฉัย ถึงจะแสดง ✅ ที่ช่องวินิจฉัย
57,Discharge Summary,หน้า progress note ถ้ามาเพิ่มข้อมูลหลังจาก D/C ขอให้วันที่เป็นวันที่เดิม,ปิดการแสดงชื่อเวลา
58,Discharge Summary,ใบนี้ที่หายไปจากแฟ้มเวชระเบียน,ไม่ได้บันทึก
59,Discharge Summary,ช่องสรุปชาร์ท ตรงช่องสถานะ ถ้ากากบาท แปลว่าอะไร มีปัญหาว่ากด save ตามปกติทุกหน้าแล้ว ยังขึ้นกากบาทอยู่,ถ้ากากบาทหมายถึงยังไม่มีรายการลงข้อมูลที่ส่วนนี้
60,Discharge Summary,neo ตรง non operative OR proc edure ช่อง 20 บางเคสมี check box แสดงให้ บางเคสต้องไปกดนำเข้าเอง เพราะอะไร,หากมีรายการมาแสดงแล้วส่วนนี้เกิดได้จากมีการกดบันทึกไว้ก่อนแล้ว
61,Discharge Summary,เมนู discharge ระบุแพทย์ ติ๊กเลือก Incomplete ไม่มีข้อมูลขึ้น แต่ถ้าเลือกเป็น Doctor Complete มีขึ้นมาไม่ทราบว่าเกิดจากสาเหตุอะไร,หากมีการเลือก doctor complete ไว้ส่วนนี้ ข้อมูลจะไปแสดงที่หน้า doctor complete
62,Discharge Summary,เอาติ๊กถูก ออกไม่ได้ แค่กดบันทึก ยังไม่ได้ลงข้อมูลครบ ก็ติ๊กถูกให้อัติโนมัติเลย,ตอนนี้ไม่มีรายชื่ออยู่ใน complete แล้ว โดยปกติติ๊กถูกจะแสดงอัตโนมัติ ส่วนนี้หากยังลงข้อมูลไม่ครบจะต้องกดออกก่อน
63,Discharge Summary,ชารท หาย คืแ มันหา ำไม่เจอ ที่หน้า dc ปดติ มันต้องหาที่หน้า dc ได้,ทีมแนะนำค้นหา AN เนื่องจากบางครั้งข้อมูลเยอะอาจทำให้ไม่สามารถแสดงทั้งหมดได้
64,Discharge Summary,"ตรวจชาร์ทพบว่าแพทย์ลงcliinical summery ครบถ้วน แต่มาตรวจสอบแฟ้มเวชระเบียนพบว่าไม่ลิ้งมา discharge date 
Discharge status
Discharge type",มีประวัติหลายใบ
65,Discharge Summary,"คีย์รหัสไปแล้ว พอบันทึกรหัสหายHn 624391
An 680018569 แต่ถ้าพอ view ดูขึ้นนะ แต่อยากให้มันขึ้นหน้าใบ summary",ยังไม่มีการลงข้อมูลใน SPECIAL INVESTIGATION ข้อที่ 21
66,Discharge Summary,ไม่ขึ้นช่องให้ติ๊ก,บันทึกที่ส่วนนี้จะแสดงช่องสีเหลี่ยมให้ติ๊กนะ
67,Discharge Summary,พอดีจะปริ้นใบsummary D/C แต่ปริ้นไม่ได้ กดปริ้นไม่ได้ D/C 22 กันยายน สูติ -นรีเวชกรรม พิมพา,ยังไม่มีการบันทึก
68,Discharge Summary,ตรวจสอบ ตัวอย่าง HN 000004548 ก็เหมือนบันทึกครบแล้ว แต่ยัง ขึ้น ❌ อยู่,ยังไม่มีการบันทึกส่วนนี้
69,Discharge Summary,และ จำนวนที่ แสดง ให้มีประมาณ 20 ครั้ง จาก รูปที่ส่ง ไป คือมีแค่ 10 ครั้งที่มา และ เรียง จาก ครั้งแรก ที่เคย admit ทำให้ review ข้อมูล ยาก,จะยังไม่สามารถแสดง 20 ครั้งได้ เนื่องจากระบบประมาลผลมากเกินไปจะให้หน้าการทำงานช้าได้
70,Discharge Summary,ลายเซ็นหมออยู่ผิดแนว ตอนนี้แก้ไขลายเซ็นใหม่แล้วแต่ในเอกสารยังคงเป็นลายเซ็นเก่าอยู่ เป็นเฉพาะแหมอคนนี้คนเดียว,จากการตรวจสอบข้อมูลตรงส่วนนี้จะต้องเป็น USER ของแพทย์ท่านนี้ Login แก้ไขลายเซ็นและกดบันทึกแก้ไขใหม่ ลายเซ็นถึงจะแสดงเป็นปัจจุบันที่แก้ไขแล้ว USER อื่นไม่สามารถบันทึกแก้ไขข้อมูลส่วนนี้ได
71,Discharge Summary,คนไข้ที่จำหน่ายแล้ว ต้องการดูเอกสารการบันทึกติดตามการใช้ยา HAD หรือ DUE ไม่สามารถดูได้ในแฟ้มเวชระเบียน ไม่ทราบว่าควรเข้าไปดูตรง,หากมีการบันทึกเอกสาร จะชื่อว่า High Alert Drugs
72,Discharge Summary,ทำเสร็จแล้ว ทำไม ยังมี ชื่อเหลือ (??),จะต้องบันทึกที่ส่วนนี้
73,Discharge Summary,ใบสรุปการรักษาผู้ป่วยใน สามารถ lock หลังจาก audit มี log เก็บ ในส่วนนี้,ตอนนี้จะยังไม่สามารถ lock ได้ ส่วนนี้ไม่มี log เก็บ
74,Discharge Summary,ขอทีม กรณีที่มีการแก้ไข status D/C ใน NeoH ข้อมูลจะลิ้งค์มา HosXp อัตโนมัติเลย,จะต้องแก้ไขที่หน้าการทำงาน รายละเอียดผู้ป่วย > discharge รายการใน hos ถึงจะเปลี่ยน แล้วมากด edit อีกครั้งที่หน้าใบสรุป
75,Discharge Summary,2 อันล่าง มานไม่หายไปซักที เพราะอะไร?,ยังไม่มีการติ๊กเลือก doctor complete
76,Discharge Summary,จากงานกายภาพบำบัด ขอกรณีการลงข้อมูลในส่วนของ Discharge summary สามารถลงยังไงได้บ้าง ซึ่งก่อนหน้านี้ใช้วิธีการ ใช้ดินสอเขียนเพื่อแจ้งให้แพทย์รับทราบ,ให้พี่โด่งโทรแนะนำการใช้งาน
77,Discharge Summary,"ขออนุญาตสอบถาม แพทย์ลง Dx principle Dx แล้วกด save แล้ว แต่พอกลับไปดูใหม่ ข้อความDx ไม่อยุ่แล้ว 
ต้องทำยังไง",โดยปกติ ต้องเปิดประวัติใบเดิมและเพิ่มข้อมูล กด edlit รายการจะบันทึกไปที่ใบเดิม
78,Discharge Summary,ยกเลิก D/C ไปตรงไหน,ส่วนนี้จะต้องยกเลิกที่ hosxp นะ
79,Discharge Summary,ยังขึ้นสลับกันเหมือนเดิมครับ ใบสรุปเวช,"ทางทีมขอทราบความหมายความสำคัญส่วนนี้ของ ทาง รพ. 
เนื่องจากปัจจุบัน ระบบจับจากความสำคัญมากที่สุดเป็น main ทำให้ ความสำคัญ 2 เป็น main"
80,Discharge Summary,"ทพญ.ตุลยา , กับ ทพญ.พรชนก ไม่มี ชื่อ sign ใน attending กับ approve แล้ว มานมีโอกาส ค้นชื่อจาก ส่วนนี้ได้มั๊ย",หน้าการทำงานนี้ ณ ปัจจุบัน ไม่แสดงชื่อผู้ที่ไม่เป็นเลข ว. ของแพทย์ จะเป็น ท. ทำให้ไม่พบ
81,Discharge Summary,"ทำไมตรงวินิจฉัยโรค ไม่ติ๊กถูก
ทั้งๆที่ลง วินิจฉัยแล้ว save แล้ว","ยังไม่มีการลงข้อมูล ICD10, ICD9"
82,Discharge Summary,แนบไฟล์ไม่ได้ครับ,"ยังไม่มีจัดเอกสารเพิ่มเอกสารไฟล์แนบนะ"
83,Discharge Summary,สอบถามกรณีที่คนไข้ทำการD/Cไปแล้วมีวิธีไหนที่ไม่ต้องดึงชื่อกลับมาให้อยู่ในHosxpบ้างไหม เพราะบ้างที่ทำการScatเอกสารที่หลังแล้วต้องไปยกเลิกการC/Cใหม่แล้วทำให้วันนอนเพิ่มขึ้น,การC/Cใหม่แล้วทำให้วันนอนเพิ่มขึ้น ส่วนนี้สามารถแก้ไขวันที่ d/c ใหม่ให้ตรงกับวันที่ d/c จริง รายการวันนอนจะไม่เพิ่มขึ้นจากการ d/c รอบแรก
